Mass (M/M_sun),M_B,M_V,(B-V)_0
100.0,-5.17762,-5.00697,-0.170645
99.0,-5.1935400000000005,-5.03558,-0.157953
98.0,-5.2114400000000005,-5.05872,-0.152725
97.0,-5.24453,-5.095940000000001,-0.148586
96.0,-5.27232,-5.1319099999999995,-0.14040899999999998
95.0,-5.0843,-4.79341,-0.290889
94.0,-5.05625,-4.72909,-0.327165
93.0,-5.05319,-4.72751,-0.325675
92.0,-5.11062,-4.78172,-0.328909
91.0,-5.151009999999999,-4.82051,-0.330502
90.0,-5.17724,-4.84659,-0.33064699999999997
89.0,-5.19185,-4.86203,-0.329822
88.0,-5.19046,-4.86032,-0.33014499999999997
87.0,-5.21823,-4.88885,-0.329382
86.0,-5.26999,-4.9401,-0.329895
85.0,-5.31838,-4.98794,-0.330437
84.0,-5.44814,-5.1177,-0.330438
83.0,-8.52131,-8.307730000000001,-0.213588
82.0,-5.96937,-5.63868,-0.33068800000000004
81.0,-7.5803899999999995,-7.3267,-0.253698
80.0,-7.871,-7.63133,-0.23965999999999998
79.0,-8.07397,-7.82878,-0.24518
78.0,-8.31635,-8.10162,-0.214723
77.0,-8.20956,-7.99119,-0.218363
76.0,-8.261439999999999,-8.04822,-0.21321700000000002
75.0,-8.28364,-8.07368,-0.209963
74.0,-8.603489999999999,-8.407680000000001,-0.19580799999999998
73.0,-8.57542,-8.3793,-0.196117
72.0,-8.57585,-8.38048,-0.195366
71.0,-8.54774,-8.35213,-0.195605
70.0,-8.5183,-8.32243,-0.195867
69.0,-8.47293,-8.27619,-0.196743
68.0,-8.425460000000001,-8.227789999999999,-0.19767200000000001
67.0,-8.37561,-8.176910000000001,-0.1987
66.0,-8.31974,-8.11974,-0.199999
65.0,-8.2591,-8.05757,-0.201535
64.0,-8.16951,-7.96488,-0.20463599999999998
63.0,-8.09747,-7.89012,-0.207357
62.0,-7.98705,-7.7735,-0.213554
61.0,-7.8703199999999995,-7.65031,-0.220014
60.0,-7.872839999999999,-7.641139999999999,-0.23170300000000002
59.0,-7.787039999999999,-7.54767,-0.239367
58.0,-7.691319999999999,-7.4471,-0.24422
57.0,-7.58246,-7.336589999999999,-0.24586999999999998
56.0,-7.48106,-7.2336800000000006,-0.247379
55.0,-7.410989999999999,-7.16408,-0.24690900000000002
54.0,-7.29793,-7.05174,-0.246189
53.0,-7.19222,-6.94592,-0.246298
52.0,-7.12776,-6.88115,-0.246608
51.0,-7.01092,-6.761189999999999,-0.24973
50.0,-6.94021,-6.688789999999999,-0.251421
49.0,-6.832,-6.57729,-0.254703
48.0,-6.764939999999999,-6.50863,-0.256314
47.0,-6.650460000000001,-6.392930000000001,-0.257531
46.0,-6.57742,-6.31952,-0.257903
45.0,-6.50535,-6.247,-0.258345
44.0,-6.4339,-6.17505,-0.258853
43.0,-6.32688,-6.06729,-0.259589
42.0,-6.25779,-5.99751,-0.260275
41.0,-6.188680000000001,-5.9276599999999995,-0.261019
