Name;m_Name;Vmag;Bmag;B-V;X;Y
 ; ;mag;mag;mag;arcsec;arcsec
----;-;-----;-----;-----;----;----
   2; ;15.48;16.25; 0.77;-172; 371
   5; ;14.13;15.02; 0.89; 140; 359
   7; ;17.86;18.55; 0.68; 218; 356
   8; ;16.30;17.04; 0.75; -18; 354
  10; ;17.77;17.89; 0.12; 122; 351
  11; ;17.30;17.50; 0.20; 156; 350
  15; ;17.44;18.14; 0.69;-243; 345
  13; ;17.08;17.73; 0.66; 141; 348
  17; ;17.73;18.47; 0.74; -23; 340
  20; ;15.64;15.80; 0.15;-146; 334
  26; ;15.67;15.80; 0.13;-375; 329
  19; ;15.64;15.80; 0.16; 421; 332
  23; ;17.97;18.60; 0.64; -94; 329
  21; ;17.72;18.36; 0.64; 400; 329
  25; ;17.30;17.99; 0.69; 185; 328
  27; ;17.24;17.90; 0.66; -87; 325
  29; ;17.80;18.46; 0.67;  89; 324
  30; ;17.50;18.15; 0.66; 246; 323
  35; ;16.43;17.18; 0.75; 116; 315
  39; ;15.72;15.80; 0.08;-356; 308
  31; ;13.11;14.46; 1.35; 367; 314
  36; ;16.98;17.61; 0.63; 161; 312
  38; ;15.83;16.54; 0.71; 260; 309
  40; ;17.55;18.26; 0.71;  20; 305
  41; ;16.44;17.18; 0.74;   0; 304
  42; ;17.60;18.29; 0.70; -91; 302
  47; ;16.46;17.17; 0.71;-333; 295
  45; ;17.11;17.81; 0.70; -47; 298
  46; ;17.31;17.97; 0.65;-140; 296
  44; ;18.05;18.70; 0.66; 336; 297
  48; ;15.83;16.63; 0.80; -16; 293
  50; ;17.16;17.87; 0.70; -61; 292
  52; ;15.58;16.03; 0.45;-135; 290
  49; ;17.42;18.09; 0.67; 120; 291
  53; ;17.28;17.97; 0.69; -58; 289
  51; ;16.15;16.91; 0.77; 111; 290
  54; ;15.67;15.80; 0.13; -10; 288
  55; ;15.57;16.36; 0.79; 196; 287
  56; ;17.02;17.71; 0.69; 342; 285
  62; ;17.75;18.37; 0.62;-195; 282
  58; ;17.77;18.24; 0.48; 159; 285
  59; ;16.75;17.46; 0.70; 147; 284
  66;a;16.54;17.25; 0.71;-113; 281
  58;a;17.61;18.27; 0.66; 158; 283
  61; ;17.03;17.75; 0.72; 100; 281
  63; ;16.87;17.57; 0.71;  -7; 280
  65; ;17.03;17.73; 0.70; 179; 278
  74; ;16.24;17.02; 0.78; -47; 272
  73; ;17.51;18.23; 0.72;  -7; 273
  78; ;15.73;15.83; 0.09;-319; 267
  75; ;17.90;18.59; 0.69; 185; 267
  81; ;17.90;18.56; 0.65;-218; 263
  76;a;17.94;18.58; 0.64; 313; 265
  79; ;15.64;16.11; 0.47;  48; 264
  76; ;16.97;17.62; 0.66; 312; 264
  80; ;17.33;18.02; 0.69;  23; 263
  85; ;17.19;17.86; 0.67;-218; 258
  85;a;15.84;16.65; 0.81;-214; 258
  82; ;14.01;15.12; 1.11; 271; 260
  84; ;15.97;15.95;-0.02; 192; 258
  86; ;16.69;17.37; 0.69;  65; 257
  88; ;15.66;16.13; 0.47;  77; 255
  92; ;17.51;18.17; 0.66;-219; 250
  89; ;17.60;18.26; 0.66; -29; 253
  90; ;15.13;15.94; 0.82;  75; 251
  91; ;17.99;18.63; 0.64; 167; 251
  93; ;16.81;17.48; 0.67;  18; 249
  94; ;17.18;17.84; 0.66;  59; 248
  96; ;17.47;17.57; 0.10;-189; 244
  95; ;17.50;18.17; 0.67; 111; 246
  98; ;16.90;17.61; 0.71;-173; 243
 102; ;15.66;15.78; 0.12;-347; 239
  97; ;15.62;15.78; 0.16;  22; 243
  97;a;14.86;15.77; 0.91;  24; 241
 103; ;14.33;15.34; 1.02;-232; 237
 105; ;16.85;17.56; 0.71;-221; 237
 100; ;16.91;17.66; 0.75; 135; 239
 101; ;15.94;15.96; 0.02; -33; 238
 108; ;17.46;18.12; 0.66;-138; 233
 107; ;17.35;18.02; 0.68; -66; 234
 104; ;17.62;18.31; 0.69; 188; 235
 106; ;17.64;18.27; 0.64;  29; 234
 109; ;15.60;15.75; 0.15; -24; 232
 110; ;16.80;17.53; 0.73;  19; 231
 113; ;17.04;17.72; 0.69; -43; 230
 114; ;16.97;17.64; 0.67;  59; 228
 129; ;15.14;15.97; 0.83;-353; 221
 124; ;17.02;17.71; 0.69;-118; 223
 120; ;16.80;17.50; 0.70;  47; 224
 128; ;16.22;16.97; 0.75;-169; 221
 117; ;17.31;18.00; 0.68; 317; 224
 123; ;15.58;16.00; 0.42;  71; 223
 126; ;15.01;15.86; 0.85; 204; 220
 125; ;15.82;15.83; 0.01; 239; 220
 135; ;17.69;18.34; 0.65;-252; 215
 127; ;17.33;18.03; 0.69; 177; 220
 131; ;17.48;18.07; 0.59;  31; 217
 130; ;16.49;17.24; 0.75; 257; 217
 134; ;15.58;16.09; 0.51;  14; 215
 132; ;14.58;15.52; 0.95; 168; 214
 140; ;17.28;17.95; 0.67;-177; 209
 137; ;16.74;17.49; 0.75;-159; 209
 136; ;14.88;15.60; 0.73; 308; 212
 148; ;13.69;14.85; 1.16;-358; 205
 138; ;16.89;17.56; 0.68; -43; 208
 141; ;17.86;18.58; 0.72; -53; 208
 145; ;15.57;16.02; 0.45;-168; 206
 139; ;15.46;15.96; 0.49; 157; 207
 147; ;16.74;17.43; 0.69;-116; 205
 146; ;16.58;17.30; 0.71; -67; 205
 142; ;17.24;17.92; 0.69; 270; 206
 143; ;17.33;18.02; 0.69; 103; 205
 144; ;17.53;18.20; 0.67; 222; 204
 155; ;17.05;17.73; 0.68;-133; 200
 152; ;17.57;17.66; 0.09; 112; 202
 153; ;17.94;18.64; 0.70;  39; 201
 154; ;15.37;16.19; 0.81; -36; 200
 158; ;15.36;15.99; 0.62;-260; 197
 162; ;17.13;17.82; 0.69;-306; 196
 161; ;13.60;14.82; 1.22;-199; 196
 156; ;15.03;14.62;-0.41;  70; 198
 157; ;16.96;17.62; 0.66; 161; 198
 160; ;14.68;15.45; 0.77;  12; 195
 166; ;14.79;15.51; 0.72; -40; 192
 159; ;15.99;16.70; 0.72; 343; 194
 165; ;17.68;18.34; 0.66; 122; 192
 177; ;14.74;15.72; 0.98;-286; 187
 174; ;16.83;17.54; 0.72;-188; 188
 182; ;15.52;16.29; 0.77;-322; 186
 171; ;16.71;17.43; 0.73; -36; 189
 178; ;17.40;18.08; 0.68;-238; 187
 173; ;17.80;18.45; 0.65;-120; 188
 168; ;15.62;15.74; 0.12; 291; 191
 181; ;17.49;18.17; 0.68;-252; 186
 170; ;17.49;18.18; 0.69; 153; 189
 172; ;16.58;17.26; 0.68;  59; 188
 180; ;17.00;17.71; 0.70;-150; 186
 184; ;16.96;17.65; 0.70; -95; 185
 183; ;16.92;17.59; 0.68; -17; 184
 175; ;17.66;18.28; 0.62; 187; 186
 185; ;15.76;16.56; 0.79; -61; 183
 179; ;17.69;18.34; 0.65; 156; 185
 176; ;17.35;18.03; 0.68; 322; 185
 186; ;16.39;17.11; 0.71; -13; 182
 187; ;17.16;17.87; 0.72; 108; 182
 188; ;15.59;16.40; 0.80; -67; 179
 190; ;14.14;15.20; 1.06; -30; 178
 194; ;16.03;16.78; 0.75;-176; 176
 192; ;17.65;18.39; 0.73; -36; 177
